Date;Precio(en dólar);Apertura;Máximo;Mínimo;Volumen;Cambio%
2021-05-27;568.8;535.22;578.33;525.76;2.95M;6.27
2021-04-26;535.23;504.29;549.96;502.41;3.25M;6.14
2021-04-25;504.29;497.46;516.91;479.4;2.64M;1.37
2021-04-24;497.5;526.52;527.18;483.39;3.16M;-5.52
2021-04-23;526.56;505.12;529.95;450.94;7.19M;4.1
2021-04-22;505.84;543.3;582.15;482.81;6.69M;-6.9
2021-04-21;543.34;587.45;612.86;537.64;5.96M;-7.52
2021-04-20;587.5;503.98;588.98;474.35;5.96M;16.57
2021-04-19;503.97;481.47;539.96;469.31;5.23M;4.68
2021-04-18;481.42;515.1;520;429.96;4.66M;-6.54
2021-04-17;515.13;508.25;547.78;506.9;3.06M;1.26
2021-04-16;508.73;542.3;547.51;491.21;4.33M;-6.19
2021-04-15;542.31;549.65;556.32;534.85;2.41M;-1.33
2021-04-14;549.61;550.13;590.36;525.39;4.36M;-0.09
2021-04-13;550.1;596.59;602.31;533.3;5.62M;-8.1
2021-04-12;598.62;525.54;636.11;515.56;9.53M;13.91
2021-04-11;525.54;471.54;528.95;459.5;3.77M;11.28
2021-04-10;472.25;453.5;486.69;451.23;4.81M;4.14
2021-04-09;453.5;418.6;453.5;404.83;3.80M;8.57
2021-04-08;417.71;375.47;421.63;372.48;4.25M;11.25
2021-04-07;375.47;402.69;414.08;358.2;6.40M;-6.76
2021-04-06;402.69;367.41;411.6;364.2;4.69M;9.6
2021-04-05;367.41;349.36;379.45;335.86;3.67M;5.16
2021-04-04;349.37;321.91;352.21;316.54;2.90M;8.66
2021-04-03;321.53;338.82;348.99;316.06;3.29M;-4.94
2021-04-02;338.25;334.33;356.51;326.06;4.45M;1.17
